Name,URL,Remote Testing,Adaptive/IRT,Duration,Type
Cognitive Ability Test,https://shl.com/product/cognitive-ability,Yes,Yes,30 mins,Cognitive
Numerical Reasoning Test,https://shl.com/product/numerical-reasoning,Yes,Yes,30 mins,Cognitive
Verbal Reasoning Test,https://shl.com/product/verbal-reasoning,Yes,Yes,30 mins,Cognitive
Inductive Reasoning Test,https://shl.com/product/inductive-reasoning,Yes,Yes,30 mins,Cognitive
Deductive Reasoning Test,https://shl.com/product/deductive-reasoning,Yes,Yes,30 mins,Cognitive
Personality Questionnaire,https://shl.com/product/personality-profile,Yes,No,20 mins,Behavioral
Motivation Questionnaire,https://shl.com/product/motivation-profile,Yes,No,20 mins,Behavioral
Situational Judgment Test,https://shl.com/product/sjt,Yes,No,20 mins,Behavioral
Leadership Assessment,https://shl.com/product/leadership-assessment,Yes,No,20 mins,Behavioral
Emotional Intelligence Test,https://shl.com/product/ei,Yes,No,20 mins,Behavioral
Technical Skills Assessment,https://shl.com/product/technical-assessment,No,No,20 mins,Technical
Microsoft Excel Test,https://shl.com/product/excel-assessment,No,No,20 mins,Technical
IT Programming Test,https://shl.com/product/programming-test,No,No,20 mins,Technical
Call Center Simulation,https://shl.com/product/call-center,No,No,20 mins,Simulation
Retail Simulation Test,https://shl.com/product/retail-simulation,No,No,20 mins,Simulation
Work Styles Questionnaire,https://shl.com/product/work-styles,Yes,No,20 mins,Behavioral
Graduate Reasoning Assessment,https://shl.com/product/graduate-test,Yes,Yes,30 mins,Cognitive
Mechanical Comprehension Test,https://shl.com/product/mechanical-test,Yes,Yes,30 mins,Cognitive
Sales Potential Assessment,https://shl.com/product/sales-assessment,Yes,No,20 mins,Behavioral
Customer Service Scenario Test,https://shl.com/product/customer-service-test,Yes,No,20 mins,Behavioral
